Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220709;5;15450;15000,400
20220709;6;15400;14716,613
20220709;7;16800;15618,463
20220709;8;18000;16814,913
20220709;9;19050;17798,925
20220709;10;19600;18516,850
20220709;11;19800;18589,688
20220709;12;19800;18707,888
20220709;13;19800;18577,975
20220709;14;19500;18487,138
20220709;15;18850;17953,750
20220709;16;18550;17941,100
20220709;17;18300;18045,900
20220709;18;18100;17776,163
20220709;19;18100;17630,875
20220709;20;18100;17629,300
20220709;21;18100;17661,238
20220709;22;17950;17618,775
20220709;23;17650;17023,450
20220709;24;16400;15825,588
20220710;1;15200;14755,838
20220710;2;14400;14063,525
20220710;3;13900;13687,488
20220710;4;13600;13350,200
20220710;5;13200;13030,863
20220710;6;12950;12797,225
20220710;7;13850;13177,188
20220710;8;14800;13856,763
20220710;9;15750;14577,163
20220710;10;16500;15438,000
20220710;11;16750;16035,350
20220710;12;16800;16409,388
20220710;13;16800;16217,313
20220710;14;16800;16237,950
20220710;15;16700;15583,675
20220710;16;16600;15321,813
20220710;17;16700;15663,700
20220710;18;16800;15995,813
20220710;19;17000;16293,375
20220710;20;17200;16426,400
20220710;21;17350;16573,450
20220710;22;17350;16680,913
20220710;23;17350;16446,463
20220710;24;16300;15349,350
20220711;1;15100;14554,125
20220711;2;14400;14002,850
20220711;3;14100;13774,963
20220711;4;14000;13707,000
20220711;5;13900;13764,513
20220711;6;15650;14346,925
20220711;7;19050;17080,000
20220711;8;20800;19358,313
20220711;9;21700;20494,413
20220711;10;21900;20913,938
20220711;11;22200;20781,763
20220711;12;22550;20965,050
20220711;13;22700;21685,675
20220711;14;22700;21155,813
20220711;15;22500;20711,275
20220711;16;22400;20692,663
20220711;17;22100;20305,238
20220711;18;21800;20703,050
20220711;19;21400;20562,975
20220711;20;21400;20696,375
20220711;21;21250;20644,675
20220711;22;20950;20394,788
20220711;23;20050;19277,838
20220711;24;18650;17751,875
20220712;1;17150;16535,413
20220712;2;16250;15867,600
20220712;3;15850;15496,138
20220712;4;15800;15494,238
20220712;5;15650;15360,238
20220712;6;16500;15684,913
20220712;7;19300;17919,200
20220712;8;20600;19896,188
20220712;9;21400;20770,050
20220712;10;21600;21157,125
20220712;11;21950;21000,563
20220712;12;22350;21238,150
20220712;13;22550;21364,613
20220712;14;22650;21011,825
20220712;15;22350;20707,150
20220712;16;22250;20689,663
20220712;17;22050;21059,763
20220712;18;21750;20473,900
20220712;19;21450;20283,788
20220712;20;21450;20605,463
20220712;21;21400;20873,588
20220712;22;21200;20592,850
20220712;23;20400;19293,563
20220712;24;19100;17810,775
20220713;1;17350;16754,975
20220713;2;16700;16134,250
20220713;3;16200;15709,275
20220713;4;16150;15733,425
20220713;5;16000;15666,275
20220713;6;16900;15839,263
20220713;7;19850;17959,613
20220713;8;21550;19913,488
20220713;9;22550;20926,788
20220713;10;22650;21192,788
20220713;11;23000;20898,888
20220713;12;23100;21289,263
20220713;13;23150;21603,563
20220713;14;23300;21593,413
20220713;15;23050;21448,238
20220713;16;22950;21613,125
20220713;17;22850;21541,088
20220713;18;22750;21627,025
20220713;19;22250;21454,450
20220713;20;22200;21338,250
20220713;21;22000;21295,800
20220713;22;21650;20946,663
20220713;23;20750;19710,088
20220713;24;19200;18364,938
20220714;1;17350;17202,175
20220714;2;16700;16598,538
20220714;3;16200;16215,438
20220714;4;16150;16090,338
20220714;5;16000;15845,288
20220714;6;16800;16132,238
20220714;7;19550;18247,675
20220714;8;21050;20176,375
20220714;9;22050;21393,650
20220714;10;22150;21748,900
20220714;11;22350;21573,925
20220714;12;22600;21704,650
20220714;13;22650;21653,425
20220714;14;22650;21969,313
20220714;15;22450;21779,075
20220714;16;22350;21499,313
20220714;17;22100;21919,375
20220714;18;22000;21624,838
20220714;19;21600;21398,950
20220714;20;21600;21385,250
20220714;21;21550;21302,300
20220714;22;21200;20873,450
20220714;23;20300;19714,450
20220714;24;19000;18351,788
20220715;1;17150;17060,138
20220715;2;16500;16520,000
20220715;3;16000;16120,863
20220715;4;15950;16045,088
20220715;5;15800;15898,913
20220715;6;16600;16125,700
20220715;7;19350;17974,713
20220715;8;20850;19747,225
20220715;9;21850;20840,600
20220715;10;21950;20925,700
20220715;11;22150;20662,300
20220715;12;22400;21095,263
20220715;13;22450;21301,963
20220715;14;22450;20954,650
20220715;15;21950;20572,850
20220715;16;21850;20644,988
20220715;17;21600;20509,925
20220715;18;21500;20521,313
20220715;19;21100;20437,063
20220715;20;21100;20440,863
20220715;21;21150;20433,475
20220715;22;20900;20048,800
20220715;23;20000;18909,038
20220715;24;18700;17691,975
20220716;1;17300;16491,263
20220716;2;16350;15721,788
20220716;3;15800;15345,625
20220716;4;15650;15252,800
20220716;5;15050;14902,225
20220716;6;14900;14617,575
20220716;7;16450;15367,013
20220716;8;17750;16774,138
20220716;9;18800;17936,575
20220716;10;19100;18492,500
20220716;11;19300;18672,900
20220716;12;19300;18898,900
20220716;13;19300;18908,663
