Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20221001;1;16800;16449,875
20221001;2;16200;15743,763
20221001;3;15700;15327,338
20221001;4;15600;15169,638
20221001;5;15750;15282,263
20221001;6;16100;15299,700
20221001;7;17250;15904,475
20221001;8;18550;16960,175
20221001;9;19650;18428,825
20221001;10;20150;19089,950
20221001;11;20150;19133,438
20221001;12;20150;19116,013
20221001;13;20000;18782,775
20221001;14;19800;18658,488
20221001;15;19200;18478,875
20221001;16;18900;18525,213
20221001;17;18750;18538,025
20221001;18;18700;18556,725
20221001;19;19850;19101,925
20221001;20;20050;19639,588
20221001;21;19800;18941,450
20221001;22;18700;17894,688
20221001;23;17350;16819,713
20221001;24;16200;15632,613
20221002;1;15100;14659,088
20221002;2;14400;13842,350
20221002;3;13950;13550,800
20221002;4;13850;13385,225
20221002;5;13900;13348,025
20221002;6;14100;13538,013
20221002;7;14450;13706,600
20221002;8;15450;14291,425
20221002;9;16550;15452,400
20221002;10;17250;16265,288
20221002;11;17550;16851,338
20221002;12;17550;16873,888
20221002;13;17550;16739,188
20221002;14;17550;16784,238
20221002;15;17200;16331,100
20221002;16;16950;16194,463
20221002;17;16900;16212,300
20221002;18;17400;16714,675
20221002;19;19000;17548,675
20221002;20;19000;18477,200
20221002;21;18850;18149,363
20221002;22;17850;17295,663
20221002;23;16800;16443,088
20221002;24;15900;15432,575
20221003;1;14283;14652,775
20221003;2;13835;14208,400
20221003;3;13637;13990,900
20221003;4;13630;14038,475
20221003;5;14051;14530,813
20221003;6;15363;15675,613
20221003;7;18534;18488,175
20221003;8;20491;20460,875
20221003;9;21694;21650,013
20221003;10;22158;22028,075
20221003;11;22051;21994,963
20221003;12;22159;22208,863
20221003;13;22131;22236,425
20221003;14;21950;22124,613
20221003;15;21447;21449,900
20221003;16;21531;21165,338
20221003;17;21475;21192,200
20221003;18;21492;21263,000
20221003;19;22048;22043,725
20221003;20;22877;22901,213
20221003;21;22371;22301,175
20221003;22;20762;20829,063
20221003;23;19050;19042,200
20221003;24;17696;17635,238
20221004;1;17000;16708,550
20221004;2;16300;16216,563
20221004;3;16000;15836,938
20221004;4;16050;15944,350
20221004;5;16500;16126,250
20221004;6;17950;16947,950
20221004;7;20650;19421,063
20221004;8;21950;21181,413
20221004;9;22550;21997,763
20221004;10;22600;22354,925
20221004;11;22550;21819,513
20221004;12;22550;22000,863
20221004;13;22650;22067,550
20221004;14;22650;21822,775
20221004;15;22000;21404,525
20221004;16;21950;21475,525
20221004;17;21800;21380,113
20221004;18;21850;21448,125
20221004;19;23150;22168,850
20221004;20;23300;23097,688
20221004;21;23000;22573,700
20221004;22;21600;21054,188
20221004;23;19700;19317,888
20221004;24;18350;17992,925
20221005;1;16800;16894,725
20221005;2;16100;16311,063
20221005;3;15750;15976,275
20221005;4;15800;16007,025
20221005;5;16300;16238,475
20221005;6;17700;17167,938
20221005;7;20150;19728,038
20221005;8;21550;21361,675
20221005;9;22450;22075,525
20221005;10;22450;22126,138
20221005;11;22450;21768,300
20221005;12;22450;21727,725
20221005;13;22500;21618,725
20221005;14;22600;21771,850
20221005;15;21800;21331,350
20221005;16;21750;21429,175
20221005;17;21600;21339,075
20221005;18;21650;21456,375
20221005;19;23000;22326,288
20221005;20;23100;23117,213
20221005;21;22700;22500,000
20221005;22;21300;20857,050
20221005;23;19400;19213,175
20221005;24;18050;17948,988
20221006;1;16700;16973,175
20221006;2;16000;16236,200
20221006;3;15650;16051,950
20221006;4;15700;16176,813
20221006;5;16200;16382,963
20221006;6;17700;17098,275
20221006;7;20150;19633,250
20221006;8;21450;21252,638
20221006;9;22050;22112,250
20221006;10;22100;22313,075
20221006;11;22000;21556,300
20221006;12;21950;21540,113
20221006;13;22050;21752,238
20221006;14;22150;22039,863
20221006;15;21500;21501,138
20221006;16;21450;21645,038
20221006;17;21400;21490,600
20221006;18;21450;21460,400
20221006;19;22850;22386,388
20221006;20;23000;23189,513
20221006;21;22700;22637,050
20221006;22;21300;21077,075
20221006;23;19400;19389,363
20221006;24;18050;18119,688
20221007;1;17000;17039,738
20221007;2;16300;16565,475
20221007;3;16000;16214,563
20221007;4;16050;16227,788
20221007;5;16550;16586,225
20221007;6;18050;17388,125
20221007;7;20550;19795,200
20221007;8;21750;21443,175
20221007;9;22300;22199,650
20221007;10;22300;22036,688
20221007;11;22100;21326,688
20221007;12;22100;21173,713
20221007;13;22050;21054,288
20221007;14;22050;20872,200
20221007;15;21400;20622,275
20221007;16;21350;21005,613
20221007;17;21450;21257,575
20221007;18;21450;21244,350
20221007;19;22850;21989,438
20221007;20;23000;22484,650
20221007;21;22700;21760,363
20221007;22;21300;20251,400
20221007;23;19450;18877,638
20221007;24;18050;17647,300
20221008;1;16700;16534,900
20221008;2;16100;15740,725
20221008;3;15600;15482,150
20221008;4;15500;15421,900
20221008;5;15550;15466,100
20221008;6;15800;15642,638
20221008;7;16950;16344,988
20221008;8;18250;17227,425
20221008;9;19250;18527,563
20221008;10;19600;19107,763
20221008;11;19600;19128,138
20221008;12;19600;19159,188
20221008;13;19500;19037,675
20221008;14;19250;18779,975
20221008;15;18850;18204,463
20221008;16;18700;18291,088
20221008;17;18700;18422,163
20221008;18;19000;18618,175
20221008;19;20000;19489,363
20221008;20;20000;19767,938
20221008;21;19650;19191,838
20221008;22;18550;18143,975
20221008;23;17200;16963,088
20221008;24;16050;15698,913
20221009;1;14900;14732,550
20221009;2;14200;14147,438
20221009;3;13800;13830,325
20221009;4;13700;13566,063
20221009;5;13800;13575,975
20221009;6;14000;13711,525
20221009;7;14350;14191,563
20221009;8;15350;14593,800
20221009;9;16450;15594,763
20221009;10;17150;16427,800
20221009;11;17350;16581,050
20221009;12;17350;16711,413
20221009;13;17100;16735,963
20221009;14;17100;16943,213
20221009;15;17100;16476,988
20221009;16;16800;16375,400
20221009;17;16700;16491,138
20221009;18;17450;17194,613
20221009;19;18800;18551,800
20221009;20;18800;19273,900
20221009;21;18650;18833,038
20221009;22;17850;17818,763
20221009;23;16900;16785,338
20221009;24;15850;15714,563
20221010;1;15150;14955,788
20221010;2;14850;14596,125
20221010;3;14700;14497,963
20221010;4;14900;14575,788
20221010;5;15700;14969,925
20221010;6;17800;16122,638
20221010;7;20600;19118,738
20221010;8;21800;21188,413
20221010;9;22550;22042,300
20221010;10;22550;21811,038
20221010;11;22200;21070,125
20221010;12;22200;20970,575
20221010;13;22250;20853,525
20221010;14;22400;20975,750
20221010;15;21750;20564,775
20221010;16;21900;21019,750
20221010;17;21850;21239,875
20221010;18;21800;21285,463
20221010;19;23250;22271,450
